DATE,TIME,AM/PM,DATA
7/3/2019,2:30:00,PM,28.27
7/3/2019,2:45:00,PM,26.72
7/3/2019,3:00:00,PM,25.02
7/3/2019,3:15:00,PM,24.09
7/3/2019,3:30:00,PM,27.16
7/3/2019,3:45:00,PM,24.03
7/3/2019,4:00:00,PM,23.61
7/3/2019,4:15:00,PM,22.73
7/3/2019,4:30:00,PM,23.73
7/3/2019,4:45:00,PM,29.78
7/3/2019,5:00:00,PM,32.09
7/3/2019,5:15:00,PM,22.2
7/3/2019,5:30:00,PM,27.93
7/3/2019,5:45:00,PM,27.34
7/3/2019,6:00:00,PM,29.3
7/3/2019,6:15:00,PM,25.09
7/3/2019,6:30:00,PM,23.72
7/3/2019,6:45:00,PM,30.58
7/3/2019,7:00:00,PM,40.73
7/3/2019,7:15:00,PM,17.57
7/3/2019,7:30:00,PM,34.09
7/3/2019,7:45:00,PM,25.54
7/3/2019,8:00:00,PM,33.44
7/3/2019,8:15:00,PM,28.77
7/3/2019,8:30:00,PM,24.72
7/3/2019,8:45:00,PM,28.76
7/3/2019,9:00:00,PM,28.15
7/3/2019,9:15:00,PM,31.32
7/3/2019,9:30:00,PM,31.3
7/3/2019,9:45:00,PM,30.61
7/3/2019,10:00:00,PM,33.5
7/3/2019,10:15:00,PM,34.09
7/3/2019,10:30:00,PM,31.07
7/3/2019,10:45:00,PM,30.41
7/3/2019,11:00:00,PM,32.8
7/3/2019,11:15:00,PM,34.16
7/3/2019,11:30:00,PM,33.41
7/3/2019,11:45:00,PM,34.36
7/4/2019,12:00:00,AM,17.52
7/4/2019,12:15:00,AM,15
7/4/2019,12:30:00,AM,15.22
7/4/2019,12:45:00,AM,15.9
7/4/2019,1:00:00,AM,19.25
7/4/2019,1:15:00,AM,15.66
7/4/2019,1:30:00,AM,17.92
7/4/2019,1:45:00,AM,15.09
7/4/2019,2:00:00,AM,15.38
7/4/2019,2:15:00,AM,15.03
7/4/2019,2:30:00,AM,14.9
7/4/2019,2:45:00,AM,15.48
7/4/2019,3:00:00,AM,14.46
7/4/2019,3:15:00,AM,15.14
7/4/2019,3:30:00,AM,15.22
7/4/2019,3:45:00,AM,15.23
7/4/2019,4:00:00,AM,13.65
7/4/2019,4:15:00,AM,13.36
7/4/2019,4:30:00,AM,13.57
7/4/2019,4:45:00,AM,14.68
